Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2012-01-06,1450000,0,45.0,3.10,220.1,7.5
1,2012-01-13,1485000,0,46.2,3.12,220.2,7.5
1,2012-01-20,1510000,0,48.1,3.14,220.3,7.4
1,2012-01-27,1490000,0,49.0,3.15,220.4,7.4
1,2012-02-03,1525000,0,51.2,3.18,220.6,7.3
1,2012-02-10,1580000,1,52.0,3.21,220.7,7.3
1,2012-02-17,1530000,0,50.5,3.25,220.8,7.3
1,2012-02-24,1555000,0,53.3,3.28,220.9,7.2
1,2012-03-02,1595000,0,55.0,3.30,221.1,7.2
1,2012-03-09,1610000,0,56.5,3.32,221.2,7.2
2,2012-01-06,1850000,0,42.0,3.08,219.8,8.0
2,2012-01-13,1810000,0,43.4,3.11,219.9,8.0
2,2012-01-20,1875000,0,44.1,3.13,220.0,7.9
2,2012-01-27,1900000,0,45.5,3.16,220.1,7.9
2,2012-02-03,1925000,0,47.0,3.19,220.2,7.8
2,2012-02-10,2050000,1,48.3,3.22,220.3,7.8
2,2012-02-17,1940000,0,49.8,3.26,220.4,7.8
2,2012-02-24,1965000,0,51.1,3.29,220.5,7.7
2,2012-03-02,1995000,0,52.7,3.31,220.6,7.7
2,2012-03-09,2020000,0,54.2,3.34,220.7,7.7
